sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 21, 2025 20:43:20

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
     +syncreg_26:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk2.depack40bit_inst:efx_csi2_depack40bit_cc450cec25ee4b728428ccbe46b03b47	     51(51)	       0(0)	       0(0)	   100(100)	     0(0)	     0(0)	     0(0)	
     +genblk3.depack48bit_inst:efx_csi2_depack48bit_cc450cec25ee4b728428ccbe46b03b47	     75(75)	       0(0)	       0(0)	   129(129)	     0(0)	     0(0)	     0(0)	
     +genblk4.depack56bit_inst:efx_csi2_depack56bit_cc450cec25ee4b728428ccbe46b03b47	     85(85)	       0(0)	       0(0)	   215(215)	     0(0)	     0(0)	     0(0)	
     +genblk5.depack64bit_inst:efx_csi2_depack64bit_cc450cec25ee4b728428ccbe46b03b47	     33(33)	       0(0)	       0(0)	     64(64)	     0(0)	     0(0)	     0(0)	
     +u1_inst:efx_fifo_top_cc450cec25ee4b728428ccbe46b03b47(MODE="FWFT",DEPTH=1024,DATA_WIDTH=64,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=1024,PROG_FULL_NEGATE=1024,PROG_EMPTY_ASSERT=1,PROG_EMPTY_NEGATE=1)	     114(0)	       0(0)	      33(0)	     367(0)	     0(0)	     7(0)	     0(0)	
      +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_cc450cec25ee4b728428ccbe46b03b47(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_cc450cec25ee4b728428ccbe46b03b47(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_cc450cec25ee4b728428ccbe46b03b47(WR_DEPTH=1024,RD_DEPTH=1024,WDATA_WIDTH=64,RDATA_WIDTH=64,WADDR_WIDTH=10,RADDR_WIDTH=10,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	   308(308)	     0(0)	     7(7)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_cc450cec25ee4b728428ccbe46b03b47(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=1024,WADDR_WIDTH=10,RADDR_WIDTH=10,ALMOST_FLAG=0,PROG_FULL_ASSERT=1024,PROG_FULL_NEGATE=1024,PROGRAMMABLE_EMPTY="STATIC_DUAL",PROG_EMPTY_ASSERT=1,PROG_EMPTY_NEGATE=1,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	    110(66)	       0(0)	     33(33)	     59(19)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_cc450cec25ee4b728428ccbe46b03b47(WIDTH=11)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_addr_sync:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=11,ACTIVE_LOW=0)	     22(22)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_cc450cec25ee4b728428ccbe46b03b47(WIDTH=11)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_addr_sync:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=11,ACTIVE_LOW=0)	     22(22)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_cc450cec25ee4b728428ccbe46b03b47(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_afifo_w32r8_reshape:afifo_w32r8_reshape                 	      80(0)	       0(0)	      38(0)	      32(0)	     0(0)	    16(0)	     0(0)	
  +u_efx_fifo_top:efx_fifo_top_9f54396145b74975ae3dbe247cfd03f0(FAMILY="TITANIUM",MODE="FWFT",DEPTH=4096,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=4,PROG_FULL_NEGATE=4,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0,ASYM_WIDTH_RATIO=2,ENDIANESS=1,OVERFLOW_PROTECT=0,UNDERFLOW_PROTECT=0)	      80(0)	       0(0)	      38(0)	      32(0)	     0(0)	    16(0)	     0(0)	
   +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_9f54396145b74975ae3dbe247cfd03f0(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +active_high.efx_resetsync_active_high:efx_asyncreg_9f54396145b74975ae3dbe247cfd03f0(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_9f54396145b74975ae3dbe247cfd03f0(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +active_high.efx_resetsync_active_high:efx_asyncreg_9f54396145b74975ae3dbe247cfd03f0(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +xefx_fifo_ram:efx_fifo_ram_9f54396145b74975ae3dbe247cfd03f0(FAMILY="TITANIUM",WR_DEPTH=4096,RD_DEPTH=16384,WDATA_WIDTH=32,WADDR_WIDTH=12,RADDR_WIDTH=14,OUTPUT_REG=0,ENDIANESS=1)	       1(1)	       0(0)	       0(0)	     10(10)	     0(0)	   16(16)	     0(0)	
   +xefx_fifo_ctl:efx_fifo_ctl_9f54396145b74975ae3dbe247cfd03f0(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=4096,WADDR_WIDTH=12,RADDR_WIDTH=14,ASYM_WIDTH_RATIO=2,RAM_MUX_RATIO=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=4,PROG_FULL_NEGATE=4,HANDSHAKE_FLAG=0)	     75(49)	       0(0)	     38(38)	      22(0)	     0(0)	     0(0)	     0(0)	
    +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_9f54396145b74975ae3dbe247cfd03f0(WIDTH=13)	       0(0)	       0(0)	       0(0)	     12(12)	     0(0)	     0(0)	     0(0)	
    +async_clk.wr2rd_addr_sync:efx_asyncreg_9f54396145b74975ae3dbe247cfd03f0(WIDTH=13,ACTIVE_LOW=0)	     26(26)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
    +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=13)	       0(0)	       0(0)	       0(0)	       9(0)	     0(0)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(0)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=11)	       0(0)	       0(0)	       0(0)	       9(0)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9f54396145b74975ae3dbe247cfd03f0(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +DR0:delay_reg(delay_level=1280)                           	 1280(1280)	   164(164)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
 +u_Sensor_Image_XYCrop:Sensor_Image_XYCrop(IMAGE_VSIZE_SOURCE=960,IMAGE_YSIZE_TARGET=720,PIXEL_DATA_WIDTH=8)	     35(35)	       0(0)	     23(23)	     30(30)	     0(0)	     0(0)	     0(0)	
 +ori_bayer2rgb:VIP_RAW8_RGB888(IMG_HDISP=1280,IMG_VDISP=720)	    248(56)	       0(0)	    139(86)	    205(60)	     0(0)	     4(0)	     0(0)	
  +u_VIP_Matrix_Generate_3X3_8Bit:VIP_Matrix_Generate_3X3_8Bit(IMG_HDISP=14'b010100000000,IMG_VDISP=14'b01011010000)	   192(148)	       0(0)	     53(13)	    145(97)	     0(0)	     4(0)	     0(0)	
   +u0_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000)	     22(22)	       0(0)	     20(20)	     24(24)	     0(0)	     2(2)	     0(0)	
   +u1_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000,DELAY_NUM=1)	     22(22)	       0(0)	     20(20)	     24(24)	     0(0)	     2(2)	     0(0)	
 +u_sram_r0_r:sram_r0_r                                     	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
  +u_efx_bram:efx_bram_3aa3cd47e54843949148b39cf49eb9cb_renamed_due_excessive_length_1	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
   +genblk1.sdpram_inst:efx_simple_dual_port_ram_3aa3cd47e54843949148b39cf49eb9cb_renamed_due_excessive_length_2	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
    +brams:bram_wrapper_mwm_3aa3cd47e54843949148b39cf49eb9cb(WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,BYTEEN_POLARITY=1,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,DATA_WIDTH_A=8,DATA_WIDTH_B=8,ADDR_WIDTH_A=11,ADDR_WIDTH_B=11,BYTEEN_WIDTH=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
     +scan_row.row[0].column[0].bram:bram_primitive_3aa3cd47e54843949148b39cf49eb9cb(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +scan_row.row[0].column[1].bram:bram_primitive_3aa3cd47e54843949148b39cf49eb9cb(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +u_sram_r0_g:sram_r0_g                                     	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
  +u_efx_bram:efx_bram_7a73009af7564ff4acec136d6f7388f6_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
   +genblk1.sdpram_inst:efx_simple_dual_port_ram_7a73009af7564ff4acec136d6f7388f6_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
    +brams:bram_wrapper_mwm_7a73009af7564ff4acec136d6f7388f6(WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,BYTEEN_POLARITY=1,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,DATA_WIDTH_A=8,DATA_WIDTH_B=8,ADDR_WIDTH_A=11,ADDR_WIDTH_B=11,BYTEEN_WIDTH=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
     +scan_row.row[0].column[0].bram:bram_primitive_7a73009af7564ff4acec136d6f7388f6(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +scan_row.row[0].column[1].bram:bram_primitive_7a73009af7564ff4acec136d6f7388f6(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +u_sram_r0_b:sram_r0_b                                     	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
  +u_efx_bram:efx_bram_4312b3c326a242e48f9cb7f0e6ef2b1a_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
   +genblk1.sdpram_inst:efx_simple_dual_port_ram_4312b3c326a242e48f9cb7f0e6ef2b1a_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
    +brams:bram_wrapper_mwm_4312b3c326a242e48f9cb7f0e6ef2b1a(WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,BYTEEN_POLARITY=1,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,DATA_WIDTH_A=8,DATA_WIDTH_B=8,ADDR_WIDTH_A=11,ADDR_WIDTH_B=11,BYTEEN_WIDTH=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
     +scan_row.row[0].column[0].bram:bram_primitive_4312b3c326a242e48f9cb7f0e6ef2b1a(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +scan_row.row[0].column[1].bram:bram_primitive_4312b3c326a242e48f9cb7f0e6ef2b1a(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +u_sram_r1_r:sram_r1_r                                     	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
  +u_efx_bram:efx_bram_4099d09f2b2e4c589aed94e18802cdb3_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
   +genblk1.sdpram_inst:efx_simple_dual_port_ram_4099d09f2b2e4c589aed94e18802cdb3_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
    +brams:bram_wrapper_mwm_4099d09f2b2e4c589aed94e18802cdb3(WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,BYTEEN_POLARITY=1,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,DATA_WIDTH_A=8,DATA_WIDTH_B=8,ADDR_WIDTH_A=11,ADDR_WIDTH_B=11,BYTEEN_WIDTH=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
     +scan_row.row[0].column[0].bram:bram_primitive_4099d09f2b2e4c589aed94e18802cdb3(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +scan_row.row[0].column[1].bram:bram_primitive_4099d09f2b2e4c589aed94e18802cdb3(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +u_sram_r1_g:sram_r1_g                                     	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
  +u_efx_bram:efx_bram_2f45f8404047432b8ff18e1f6073b0f3_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
   +genblk1.sdpram_inst:efx_simple_dual_port_ram_2f45f8404047432b8ff18e1f6073b0f3_renamed_due_excessive_length_10	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
    +brams:bram_wrapper_mwm_2f45f8404047432b8ff18e1f6073b0f3(WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,BYTEEN_POLARITY=1,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,DATA_WIDTH_A=8,DATA_WIDTH_B=8,ADDR_WIDTH_A=11,ADDR_WIDTH_B=11,BYTEEN_WIDTH=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
     +scan_row.row[0].column[0].bram:bram_primitive_2f45f8404047432b8ff18e1f6073b0f3(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +scan_row.row[0].column[1].bram:bram_primitive_2f45f8404047432b8ff18e1f6073b0f3(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +u_sram_r1_b:sram_r1_b                                     	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
  +u_efx_bram:efx_bram_6fd81871fb9e4702aa7129e1c8f650ba_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
   +genblk1.sdpram_inst:efx_simple_dual_port_ram_6fd81871fb9e4702aa7129e1c8f650ba_renamed_due_excessive_length_12	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
    +brams:bram_wrapper_mwm_6fd81871fb9e4702aa7129e1c8f650ba(WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,BYTEEN_POLARITY=1,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,DATA_WIDTH_A=8,DATA_WIDTH_B=8,ADDR_WIDTH_A=11,ADDR_WIDTH_B=11,BYTEEN_WIDTH=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
     +scan_row.row[0].column[0].bram:bram_primitive_6fd81871fb9e4702aa7129e1c8f650ba(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +scan_row.row[0].column[1].bram:bram_primitive_6fd81871fb9e4702aa7129e1c8f650ba(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +u_sram_r2_r:sram_r2_r                                     	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
